Name,Latitude,Longitude
STEFAN CEL MARE,47.688,26.354
TULCEA,45.1831,28.8167
CALARASI,44.2,27.3331
BUZAU,45.1331,26.85
TRAIAN VUIA,45.81,21.338
BOTOSANI,47.68,26.67
BACAU,46.5331,26.9167
SIBIU,45.8,24.15
BUCURESTI BANEASA,44.5167,26.0831
ROSIORI DE VEDE,44.1,24.9831
VARFU OMUL,45.45,25.45
BISTRITA,47.15,24.5
CEAHLAU TOACA,46.93,25.92
CARANSEBES,45.42,22.25
CRAIOVA,44.23,23.87
CONSTANTA,44.22,28.63
DROBETA TURNU SEVERIN,44.6331,22.6331
CLUJ NAPOCA,46.7831,23.5667
ARAD,46.1331,21.35
RAMNICU VALCEA,45.1,24.37
OCNA SUGATAG,47.7831,23.9331
GALATI,45.5,28.02
DEVA,45.8667,22.9
MIERCUREA CIUC,46.3667,25.7331
IASI,47.1667,27.6331
